"sparse weighted graph embedding,"	,"
0,-2.490807,-0.6555884	,-2.0549865,0.16122718
1,-2.0750651,-0.5931243	,-1.7302343,0.14211944
2,-1.8123839,-0.5377351	,-1.511631,0.14490469
3,-1.6970139,-0.54055995	,-1.4250189,0.1497197
4,-1.5146213,-0.5067574	,-1.2900065,0.15968914
5,-1.4143199,-0.5000997	,-1.1886406,0.13934971
6,-1.3349456,-0.48534575	,-1.1397799,0.13129549
7,-1.2656932,-0.46957797	,-1.1139864,0.13239436
8,-1.2097119,-0.45328692	,-1.0642078,0.113760434
9,-1.1204923,-0.411008	,-1.0175667,0.10745759
10,-1.0978996,-0.40996483	,-0.9871677,0.1135679
11,-1.0978862,-0.40511164	,-0.9671573,0.105620585
12,-1.0738597,-0.41774884	,-0.9572514,0.1041954
13,-1.0745236,-0.41293284	,-0.9502928,0.10723139
14,-1.0513843,-0.39468783	,-0.92721725,0.09423241
15,-1.0392879,-0.419188	,-0.9192959,0.093201295
16,-1.039446,-0.40950757	,-0.91532236,0.1015474
17,-1.0370693,-0.40755713	,-0.9106406,0.097719096
18,-1.0279367,-0.4145564	,-0.9037009,0.09097615
19,-1.0406103,-0.39734414	,-0.90686935,0.0800033
20,-1.0415066,-0.39652908	,-0.9077539,0.07909544
21,-1.0274359,-0.40629056	,-0.9003035,0.063029885
22,-1.018461,-0.41821322	,-0.9026022,0.075661086
23,-1.015764,-0.41471332	,-0.9019362,0.07489527
24,-1.0255461,-0.4075724	,-0.89908785,0.07659926
25,-1.0197654,-0.4084075	,-0.8998561,0.081317425
26,-1.0279369,-0.40714976	,-0.89810747,0.07980126
27,-1.0231475,-0.4173811	,-0.90063155,0.08401053
28,-1.0244746,-0.41661486	,-0.90392834,0.072541684
29,-1.0280005,-0.40048277	,-0.89902526,0.08213697
30,-1.0148603,-0.4229452	,-0.89847964,0.07753843
31,-1.0273063,-0.40448114	,-0.90320224,0.086814776
32,-1.0276467,-0.41047525	,-0.9000567,0.06459626
33,-1.0224872,-0.41861507	,-0.9051194,0.07722355
34,-1.0252116,-0.4036901	,-0.9041371,0.08393137
35,-1.0251576,-0.4259386	,-0.9073139,0.07168162
36,-1.041686,-0.40068707	,-0.9136785,0.07389427
37,-1.0328208,-0.42083317	,-0.91267866,0.08144463
38,-1.0336049,-0.41721147	,-0.91363966,0.0816157
39,-1.0310653,-0.40665156	,-0.9137747,0.07774743
40,-1.037398,-0.41376847	,-0.9272574,0.08458387
41,-1.0588214,-0.422869	,-0.9388707,0.07267943
42,-1.0610778,-0.41090634	,-0.9492662,0.09804613
43,-1.0679109,-0.42482498	,-0.95663714,0.082868606
44,-1.0633482,-0.4414026	,-0.9600784,0.07296803
45,-1.1006556,-0.4198978	,-0.984941,0.086402506
46,-1.117582,-0.4433909	,-1.0090985,0.09600195
47,-1.1699688,-0.43696272	,-1.040336,0.09831136
48,-1.2357924,-0.46034166	,-1.1046844,0.11128646
49,-1.3542485,-0.4873003	,-1.1641501,0.1437904
50,-1.3831797,-0.49904883	,-1.1970929,0.12957138
51,-1.5150872,-0.5160028	,-1.2923887,0.1593256
52,-1.6637838,-0.5104339	,-1.4018755,0.14353532
53,-1.7535214,-0.5096599	,-1.4608961,0.15054469
54,-1.927615,-0.5618752	,-1.6408579,0.14688379
55,-1.9859537,-0.55430305	,-1.6798564,0.16268545
56,-2.0073192,-0.55675626	,-1.6995169,0.13898046
57,-2.0548246,-0.581074	,-1.737345,0.14167316
58,-2.1712363,-0.6026117	,-1.8358998,0.15812622
59,-2.287957,-0.60002863	,-1.9103024,0.14820239
60,-2.3601665,-0.61640793	,-1.9719893,0.14484352
61,-2.4262784,-0.60886997	,-2.009392,0.13995185
62,-2.479573,-0.6358312	,-2.026814,0.1467206
63,-2.5290093,-0.6295699	,-2.0308645,0.15386079
64,-2.5359182,-0.6426188	,-2.0558236,0.13820241
65,-2.4753416,-0.62214327	,-2.0586228,0.15799578
66,-2.4577281,-0.648113	,-2.1006207,0.13320687
67,-2.5701709,-0.6509767	,-2.1666114,0.14992386
68,-2.5857193,-0.657745	,-2.1796122,0.14725249
69,-2.580714,-0.6548469	,-2.1778991,0.12600471
70,-2.6817174,-0.6815117	,-2.2537425,0.12924778
71,-2.6634345,-0.67103493	,-2.2418334,0.12636515
72,-2.6750998,-0.68065286	,-2.2649672,0.13024881
73,-2.7348914,-0.6891232	,-2.3123314,0.14226599
74,-2.7946131,-0.6914864	,-2.302793,0.120410144
75,-2.837624,-0.70309603	,-2.319596,0.1417835
76,-2.8262284,-0.70269364	,-2.3299828,0.12129219
77,-2.8325083,-0.6998771	,-2.3295228,0.11950142
78,-2.8600113,-0.70389116	,-2.3314123,0.11419587
79,-2.842919,-0.71715367	,-2.3107076,0.12997413
80,-2.9859798,-0.7293823	,-2.336234,0.110256374
81,-2.998358,-0.73652464	,-2.3361747,0.13283607
82,-2.9758408,-0.717621	,-2.3445933,0.12472156
83,-2.9660075,-0.7510079	,-2.3145716,0.12906843
84,-2.9812107,-0.7331176	,-2.3116865,0.13198803
85,-2.9840808,-0.7360433	,-2.3194978,0.13145165
86,-2.9013846,-0.7212362	,-2.3490996,0.14548472
87,-2.916615,-0.7332126	,-2.3779328,0.14336486
88,-2.9254148,-0.740947	,-2.4401653,0.110096015
89,-2.9765575,-0.7489704	,-2.5551221,0.091354206
90,-2.9921887,-0.7300364	,-2.5406556,0.112804554
91,-2.9124434,-0.7443439	,-2.4415488,0.13714811
92,-2.9455588,-0.7496573	,-2.4556298,0.12166268
93,-3.0393903,-0.7458852	,-2.4985695,0.1322824
94,-3.0562892,-0.77081776	,-2.4952192,0.13043305
95,-3.0866787,-0.7542721	,-2.4963787,0.13176759
96,-3.0392492,-0.77090836	,-2.4890757,0.15780756
97,-3.0947025,-0.7565072	,-2.4100072,0.13434634
98,-3.1029115,-0.78347665	,-2.4284565,0.14413537
99,-3.1140828,-0.77234364	,-2.4788508,0.12157748
100,-3.0995874,-0.7618793	,-2.4804056,0.1430593
101,-3.0948691,-0.76254624	,-2.4970481,0.108469196
102,-3.2059186,-0.7926825	,-2.597009,0.11592265
103,-3.205508,-0.7926015	,-2.5951989,0.13352413
104,-3.2759516,-0.7982231	,-2.6016514,0.12999114
105,-3.2830563,-0.793812	,-2.6022847,0.13758516
106,-3.2647154,-0.81979334	,-2.612386,0.1577662
107,-3.5747244,-0.8851945	,-2.606717,0.12137804
108,-3.577359,-0.88664955	,-2.6025887,0.15109244
109,-3.5839782,-0.8863412	,-2.6128674,0.14177401
110,-3.5930974,-0.89295435	,-2.6114953,0.13997783
111,-3.6128142,-0.8789802	,-2.613486,0.12806997
112,-3.6066365,-0.8824219	,-2.63465,0.13339998
113,-3.619742,-0.8978475	,-2.6319172,0.15893461
114,-3.6175008,-0.8926135	,-2.63159,0.14966391
115,-3.6401646,-0.9063072	,-2.6249352,0.13063122
116,-3.6387045,-0.9064809	,-2.6188169,0.12920335
117,-3.5191138,-0.8647066	,-2.624498,0.12781018
118,-3.52623,-0.87341875	,-2.637445,0.15255955
119,-3.5569153,-0.8777488	,-2.6390438,0.14245339
120,-3.5814352,-0.8940767	,-2.6388192,0.13401327
121,-3.5648048,-0.8905022	,-2.6343598,0.14245017
122,-3.5432098,-0.8787623	,-2.661566,0.13759977
123,-3.4184058,-0.831122	,-2.710527,0.15267006
124,-3.457721,-0.84299713	,-2.7162385,0.12874173
125,-3.4518461,-0.86106026	,-2.7189946,0.13717961
126,-3.6670177,-0.9041437	,-2.7974925,0.12750556
127,-3.545474,-0.87441593	,-2.796359,0.11202709
128,-3.6890595,-0.90588224	,-2.9577346,0.14856769
129,-3.728819,-0.91218907	,-2.9453619,0.16228114
130,-3.8350122,-0.9402143	,-2.9537356,0.13284372
131,-3.8507211,-0.9352064	,-2.950418,0.14019598
132,-3.8534455,-0.9456823	,-2.9568706,0.17007141
133,-3.875546,-0.9459994	,-2.9700527,0.12959579
134,-3.8719487,-0.94004214	,-2.9628706,0.16391197
135,-3.996915,-0.9818005	,-2.9689279,0.15336649
136,-3.9386513,-0.9774007	,-2.9777396,0.14378658
137,-4.1989174,-1.0430194	,-2.9833374,0.13946898
138,-4.2168775,-1.0378904	,-2.9849172,0.13521867
139,-4.2075315,-1.0422547	,-2.989756,0.17516565
140,-4.2373734,-1.0504516	,-2.9805841,0.15414363
141,-4.25265,-1.0331773	,-2.990827,0.15054306
142,-4.226417,-1.03123	,-2.9921498,0.13548777
143,-4.2731094,-1.0328614	,-3.002763,0.11915588
144,-4.2701454,-1.0596757	,-2.9994838,0.13725908
145,-4.27752,-1.0634159	,-3.0000312,0.16088064
146,-4.27135,-1.0741422	,-2.925602,0.14481716
147,-4.2729254,-1.0734273	,-2.9268906,0.15171264
148,-4.294877,-1.0643749	,-2.940716,0.15549672
149,-4.314173,-1.0871758	,-2.9272861,0.18133438
150,-4.3120527,-1.0762504	,-2.9447634,0.13074662
151,-4.3268304,-1.0746701	,-2.9014466,0.17199045
152,-4.344841,-1.0795773	,-2.9103072,0.17215216
153,-4.356014,-1.0897769	,-2.9121842,0.17551756
154,-4.364219,-1.089714	,-2.915171,0.16207796
155,-4.3709564,-1.0951807	,-2.9173484,0.1813462
156,-4.403764,-1.1087711	,-2.9098113,0.1736588
157,-4.4210663,-1.1120789	,-2.92319,0.16849168
158,-4.40981,-1.1097177	,-2.912888,0.17274629
159,-4.4638705,-1.1239424	,-2.9198675,0.16830182
160,-4.4394636,-1.1306181	,-2.9359124,0.17514162
161,-4.451931,-1.1318845	,-2.9364865,0.151771
162,-4.4963536,-1.1385256	,-2.9452724,0.14405225
163,-4.2337523,-1.0501645	,-2.9387946,0.12242367
164,-4.108032,-1.0109901	,-2.9668918,0.13912381
165,-4.0964146,-1.0231969	,0.014516594,-0.1372835
166,-4.0967364,-1.0147864	,-0.19079348,-0.18147689
167,-4.1212745,-1.0018063	,-0.20845655,0.2223448
168,-4.1401114,-0.9987301	,0.06495026,0.059574436
169,-4.1428714,-1.0235219	,0.09423277,-0.09930256
170,-3.9903831,-0.97746325	,0.04905066,-0.08906374
171,-3.9880872,-0.98330843	,0.14224286,-0.19212902
172,-4.0077977,-0.989399	,0.10783308,-0.043832548
173,-3.7508764,-0.9262981	,-2.948259,0.12597494
174,-3.4739184,-0.8656272	,-2.7925503,0.13671158
175,-3.4502127,-0.8573052	,-2.7892597,0.11112591
176,-3.4704027,-0.84922546	,-2.7797058,0.13930607
177,-3.2989705,-0.8232257	,-2.5854523,0.11706409
178,-3.3004694,-0.8192597	,-2.5845835,0.11817376
179,-3.3154218,-0.82278687	,-2.5847192,0.12893376
180,-3.3600209,-0.8356114	,-2.5864136,0.12059752
181,-3.3685305,-0.83402485	,-2.5315986,0.11215337
182,-3.3749883,-0.8313396	,-2.5896463,0.120864965
183,-3.3748834,-0.8407331	,-2.59771,0.13608688
184,-3.387652,-0.8455912	,-2.5976415,0.1326619
185,-3.272746,-0.81547534	,-2.5951066,0.12616485
186,-3.2788723,-0.81946325	,-2.5997496,0.11879094
187,-3.3007007,-0.83015335	,-2.597296,0.122618705
188,-3.3101351,-0.8132813	,-2.60373,0.118494675
189,-3.230572,-0.803332	,-2.6099484,0.13284001
190,-3.2948732,-0.81657165	,-2.6251814,0.105602145
191,-3.2741601,-0.8086027	,-2.618881,0.13669471
192,-3.2839696,-0.81448114	,-2.6137602,0.12592158
193,-3.175348,-0.78809524	,-2.6318676,0.11890998
194,-3.1838727,-0.80230784	,-2.5850532,0.11923208
195,-3.1255534,-0.7844684	,-2.5172768,0.115264125
196,-3.1327605,-0.7961351	,-2.5179555,0.108099565
197,-3.1693969,-0.7743423	,-2.5231903,0.09788938
198,-3.2636034,-0.8246262	,-2.5964887,0.11865749
199,-3.287992,-0.8049952	,-2.5955422,0.11826162
200,-3.1398668,-0.7868047	,-2.5375063,0.12448696
201,-3.1380408,-0.7852382	,-2.5428152,0.11628566
202,-3.1006484,-0.7791207	,-2.532449,0.12369394
203,-3.1393092,-0.78354275	,-2.5252016,0.1309425
204,-3.1451263,-0.7740949	,-2.5385036,0.11529946
205,-3.1098564,-0.78293395	,-2.538305,0.12904957
206,-3.1273954,-0.77077323	,-2.5393207,0.13550887
207,-3.1233916,-0.78431475	,-2.5014904,0.1343286
208,-3.1194205,-0.7899578	,-2.4701657,0.13382794
209,-3.0281692,-0.774024	,-2.4697978,0.13049641
210,-3.1546457,-0.7949264	,-2.5561345,0.10880989
211,-3.3646195,-0.8295626	,-2.6696618,0.12968291
212,-3.2374356,-0.80297863	,-2.6292183,0.116621464
213,-3.2563407,-0.7974022	,-2.6293726,0.10634957
214,-3.4426575,-0.8396436	,-2.6927516,0.12042016
215,-3.5263186,-0.87255305	,-2.7305677,0.13493711
216,-3.5260189,-0.86689425	,-2.7260153,0.11660019
217,-3.4132524,-0.8375726	,-2.729049,0.13218963
218,-3.552217,-0.8718375	,-2.7466412,0.117074564
219,-3.5003357,-0.8399185	,-2.7855191,0.13763233
220,-3.4860697,-0.86303777	,-2.7917616,0.11730805
221,-3.4843042,-0.8550763	,-2.8003721,0.12410354
222,-3.5118499,-0.86393434	,-2.807845,0.13629112
223,-3.4809144,-0.83567965	,-2.805823,0.14083707
224,-3.506685,-0.8641341	,-2.8193545,0.14587566
225,-3.4526567,-0.85385126	,-2.8209798,0.16310267
226,-3.5570338,-0.88150483	,-2.826027,0.13286556
227,-3.545394,-0.86395097	,-2.8306906,0.14278102
228,-3.453324,-0.85650027	,-2.8247051,0.14297155
229,-3.4746776,-0.85365546	,-2.792802,0.13087317
230,-3.4599137,-0.854682	,-2.8354251,0.14251307
231,-3.4078667,-0.8258061	,-2.8377705,0.1169424
232,-3.4158874,-0.8577589	,-2.833036,0.13208362
233,-3.3266282,-0.82321215	,-2.85215,0.11945946
234,-3.2706501,-0.7913551	,-2.7566311,0.16646272
235,-3.2633317,-0.80078614	,-2.7618504,0.14584264
236,-3.3071437,-0.8108917	,-2.7509694,0.13618517
237,-3.2582076,-0.803338	,-2.7236688,0.11913288
238,-3.1896276,-0.79547054	,-2.6272001,0.1188456
239,-3.195195,-0.7977114	,-2.6278546,0.14373578
240,-2.976949,-0.7468502	,-2.5146153,0.13549913
241,-2.9350019,-0.7351568	,-2.389893,0.16063808
242,-2.949226,-0.73352003	,-2.4025996,0.14466405
243,-2.9217327,-0.7273741	,-2.414624,0.14651953
244,-2.8587728,-0.7184394	,-2.4133615,0.13501945
245,-2.8497298,-0.7241272	,-2.4576836,0.13970365
246,-2.8973877,-0.7384471	,-2.4456232,0.13440011
247,-2.8297274,-0.7064806	,-2.4651427,0.15371558
248,-2.8639295,-0.70936483	,-2.41853,0.13726659
249,-2.8530242,-0.7352872	,-2.4811575,0.104861364
250,-2.7824204,-0.71895283	,-2.478407,0.15210804
251,-2.7851098,-0.709315	,-2.3821998,0.11460278
252,-2.7685199,-0.71147937	,-2.3493962,0.1324186
253,-2.7280016,-0.7016999	,-2.3957465,0.11310134
254,-2.6052585,-0.6872049	,-2.3710968,0.12701057
255,-2.6031194,-0.6755673	,-2.341329,0.12313007
256,-2.6234682,-0.6788705	,-2.3398757,0.12098174
257,-2.6444786,-0.6925792	,-2.4029741,0.10856317
