"sparse weighted graph embedding,"
0,-2.490807,-0.6555884
1,-2.0750651,-0.5931243
2,-1.8123839,-0.5377351
3,-1.6970139,-0.54055995
4,-1.5146213,-0.5067574
5,-1.4143199,-0.5000997
6,-1.3349456,-0.48534575
7,-1.2656932,-0.46957797
8,-1.2097119,-0.45328692
9,-1.1204923,-0.411008
10,-1.0978996,-0.40996483
11,-1.0978862,-0.40511164
12,-1.0738597,-0.41774884
13,-1.0745236,-0.41293284
14,-1.0513843,-0.39468783
15,-1.0392879,-0.419188
16,-1.039446,-0.40950757
17,-1.0370693,-0.40755713
18,-1.0279367,-0.4145564
19,-1.0406103,-0.39734414
20,-1.0415066,-0.39652908
21,-1.0274359,-0.40629056
22,-1.018461,-0.41821322
23,-1.015764,-0.41471332
24,-1.0255461,-0.4075724
25,-1.0197654,-0.4084075
26,-1.0279369,-0.40714976
27,-1.0231475,-0.4173811
28,-1.0244746,-0.41661486
29,-1.0280005,-0.40048277
30,-1.0148603,-0.4229452
31,-1.0273063,-0.40448114
32,-1.0276467,-0.41047525
33,-1.0224872,-0.41861507
34,-1.0252116,-0.4036901
35,-1.0251576,-0.4259386
36,-1.041686,-0.40068707
37,-1.0328208,-0.42083317
38,-1.0336049,-0.41721147
39,-1.0310653,-0.40665156
40,-1.037398,-0.41376847
41,-1.0588214,-0.422869
42,-1.0610778,-0.41090634
43,-1.0679109,-0.42482498
44,-1.0633482,-0.4414026
45,-1.1006556,-0.4198978
46,-1.117582,-0.4433909
47,-1.1699688,-0.43696272
48,-1.2357924,-0.46034166
49,-1.3542485,-0.4873003
50,-1.3831797,-0.49904883
51,-1.5150872,-0.5160028
52,-1.6637838,-0.5104339
53,-1.7535214,-0.5096599
54,-1.927615,-0.5618752
55,-1.9859537,-0.55430305
56,-2.0073192,-0.55675626
57,-2.0548246,-0.581074
58,-2.1712363,-0.6026117
59,-2.287957,-0.60002863
60,-2.3601665,-0.61640793
61,-2.4262784,-0.60886997
62,-2.479573,-0.6358312
63,-2.5290093,-0.6295699
64,-2.5359182,-0.6426188
65,-2.4753416,-0.62214327
66,-2.4577281,-0.648113
67,-2.5701709,-0.6509767
68,-2.5857193,-0.657745
69,-2.580714,-0.6548469
70,-2.6817174,-0.6815117
71,-2.6634345,-0.67103493
72,-2.6750998,-0.68065286
73,-2.7348914,-0.6891232
74,-2.7946131,-0.6914864
75,-2.837624,-0.70309603
76,-2.8262284,-0.70269364
77,-2.8325083,-0.6998771
78,-2.8600113,-0.70389116
79,-2.842919,-0.71715367
80,-2.9859798,-0.7293823
81,-2.998358,-0.73652464
82,-2.9758408,-0.717621
83,-2.9660075,-0.7510079
84,-2.9812107,-0.7331176
85,-2.9840808,-0.7360433
86,-2.9013846,-0.7212362
87,-2.916615,-0.7332126
88,-2.9254148,-0.740947
89,-2.9765575,-0.7489704
90,-2.9921887,-0.7300364
91,-2.9124434,-0.7443439
92,-2.9455588,-0.7496573
93,-3.0393903,-0.7458852
94,-3.0562892,-0.77081776
95,-3.0866787,-0.7542721
96,-3.0392492,-0.77090836
97,-3.0947025,-0.7565072
