type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31
0,-0.07886216789484024,-0.02706719934940338,0.09857799112796783,0.018635857850313187,-0.04382710158824921,-0.005879849195480347,-0.013172301463782787,0.06107494607567787,-0.08983036130666733,0.03420667722821236,-0.05138084292411804,-0.03878559544682503,0.07201923429965973,0.015517685562372208,0.08860627561807632,0.020233502611517906,0.07959722727537155,-0.05351192131638527,-0.03851928561925888,0.05603878200054169,-0.09763050079345703,-0.02858661860227585,0.0058149429969489574,0.013925977982580662,0.013092138804495335,-0.007705428171902895,-0.04648051783442497,-0.08021930605173111,0.02600961923599243,-0.00377208786085248,-0.028447598218917847,0.016747118905186653
1,-0.08141393959522247,-0.052191104739904404,0.09516369551420212,0.02348964847624302,-0.051323216408491135,0.0076819248497486115,-0.03799329698085785,0.06549407541751862,-0.10058518499135971,0.039785441011190414,-0.05623018369078636,-0.043370675295591354,0.10164321213960648,0.011807848699390888,0.10227204114198685,0.024644216522574425,0.07450918108224869,-0.04568132013082504,-0.048330970108509064,0.03238251805305481,-0.08605682849884033,-0.028550367802381516,-0.016618631780147552,0.01947377249598503,0.0041173179633915424,-0.041376158595085144,-0.05257575586438179,-0.08084120601415634,0.016769692301750183,-0.009385804645717144,-0.03667294979095459,0.014059326611459255
2,-0.06173842400312424,-0.02808012254536152,0.07129868865013123,0.023882124572992325,-0.048334069550037384,0.0066665224730968475,-0.015488927252590656,0.045724064111709595,-0.08313899487257004,0.03934808075428009,-0.04623555392026901,-0.05194229632616043,0.07023514062166214,-0.004472324158996344,0.10031482577323914,0.014507108367979527,0.0788697600364685,-0.05444030836224556,-0.05780601501464844,0.03855167701840401,-0.0904788225889206,-0.044368937611579895,-0.02133067324757576,0.03872591257095337,0.009083122946321964,-0.03392085060477257,-0.041957542300224304,-0.07279788702726364,0.015077254734933376,-0.004135685507208109,-0.04551799222826958,-0.009686228819191456
3,-0.06819751113653183,-0.04031964763998985,0.08492935448884964,0.02371571771800518,-0.05269050598144531,0.01568659581243992,-0.03620878979563713,0.05113760754466057,-0.09829846769571304,0.05280571058392525,-0.0546380840241909,-0.0438835471868515,0.08231464773416519,0.013811927288770676,0.09281665086746216,0.030842313542962074,0.05054609104990959,-0.030805617570877075,-0.03453418239951134,0.04383199289441109,-0.08140697330236435,-0.014732508920133114,-0.00993073545396328,0.018746357411146164,0.013700727373361588,-0.031840499490499496,-0.030397290363907814,-0.07949773222208023,-0.0014063823036849499,-0.004518975503742695,-0.04134787991642952,-0.0018365668365731835
4,-0.05410100147128105,-0.04912455752491951,0.08224990218877792,0.006571980658918619,-0.035858649760484695,0.003481627907603979,-0.027706751599907875,0.050545889884233475,-0.09331747889518738,0.0445764996111393,-0.055173274129629135,-0.03703774884343147,0.08635177463293076,0.018605155870318413,0.08148980885744095,0.013539141975343227,0.06181787699460983,-0.05799083039164543,-0.049520496279001236,0.035604845732450485,-0.08746710419654846,-0.020403794944286346,-0.014832133427262306,0.014688216149806976,-0.002426720689982176,-0.03354667127132416,-0.0393914133310318,-0.08240223675966263,0.014557331800460815,-0.00542841013520956,-0.045892708003520966,0.002763696713373065
5,-0.08117653429508209,-0.03829217702150345,0.08123738318681717,0.022639479488134384,-0.05765976756811142,0.015622871927917004,-0.03621136397123337,0.05102589353919029,-0.09621590375900269,0.0484720915555954,-0.07518414407968521,-0.06009842827916145,0.08009748160839081,0.0030621697660535574,0.08762644231319427,0.02445356547832489,0.0848054438829422,-0.05997014045715332,-0.051501475274562836,0.045227255672216415,-0.1046007052063942,-0.03285190835595131,0.00559660280123353,0.026861272752285004,0.01051008515059948,-0.024340054020285606,-0.039619237184524536,-0.08325731009244919,0.016711585223674774,-0.0006656956393271685,-0.049225401133298874,0.007597173564136028
6,-0.07630134373903275,-0.029345592483878136,0.07762249559164047,0.005225325934588909,-0.03462846204638481,-0.0054156845435500145,-0.028640346601605415,0.06414967775344849,-0.10802657157182693,0.041455820202827454,-0.0621202252805233,-0.04201827943325043,0.09249517321586609,0.015012340620160103,0.10035475343465805,0.01489228941500187,0.08165017515420914,-0.031593650579452515,-0.0616273395717144,0.040765415877103806,-0.08468099683523178,-0.05242163687944412,-0.018667276948690414,0.04402888938784599,0.0035269574727863073,-0.038929056376218796,-0.051564447581768036,-0.09396518766880035,-0.00010558417125139385,0.0025071653071790934,-0.053849391639232635,-0.0007706297910772264
7,-0.06290829181671143,-0.049829453229904175,0.08903665095567703,0.03065521828830242,-0.04795742779970169,0.00175699801184237,-0.023123260587453842,0.0348893441259861,-0.08057762682437897,0.03379571810364723,-0.04395250231027603,-0.036444492638111115,0.060876745730638504,-0.006654589436948299,0.07420619577169418,0.027040190994739532,0.055213768035173416,-0.03724053129553795,-0.04492216557264328,0.03823564201593399,-0.09014899283647537,-0.03552824258804321,-0.00238091335631907,0.03132706135511398,-0.009489509277045727,-0.012203886173665524,-0.02385694533586502,-0.08526968210935593,0.01892019994556904,0.005057336296886206,-0.04753506928682327,0.019713127985596657
8,-0.08822562545537949,-0.05261441692709923,0.09838065505027771,0.02349800616502762,-0.04404839873313904,-0.0010504316305741668,-0.017055382952094078,0.06329695880413055,-0.10499279201030731,0.04713812842965126,-0.07063844799995422,-0.05119406804442406,0.09568657726049423,0.023333247750997543,0.10433981567621231,0.020866114646196365,0.08985810726881027,-0.050382841378450394,-0.05229157581925392,0.05856981500983238,-0.09346342831850052,-0.025805238634347916,-0.01661451905965805,0.019092854112386703,0.01876443810760975,-0.041286908090114594,-0.034016579389572144,-0.07635001093149185,0.02143334597349167,0.00494523486122489,-0.038009509444236755,0.01555921882390976
9,-0.07710392773151398,-0.05414653569459915,0.09857029467821121,0.03510972484946251,-0.037272676825523376,0.022815166041254997,-0.036872539669275284,0.06409159302711487,-0.11299056559801102,0.04875816032290459,-0.056888557970523834,-0.06396681815385818,0.07684758305549622,0.014444442465901375,0.1043551042675972,0.013597404584288597,0.07356970012187958,-0.06019560992717743,-0.04766233637928963,0.058777954429388046,-0.07518185675144196,-0.024658774957060814,-0.001295976573601365,0.03499813377857208,0.0007548524881713092,-0.034470271319150925,-0.029033005237579346,-0.09419658035039902,0.01999087817966938,0.006724933162331581,-0.05134850740432739,0.020865267142653465
