type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63
0,-0.15270517766475677,0.15413795411586761,-0.06487398594617844,0.12133730202913284,-0.3060404360294342,0.14922799170017242,0.16243048012256622,0.018841620534658432,-0.2055281549692154,0.00925209280103445,0.007686218712478876,0.012628968805074692,-0.04510309174656868,-0.032407768070697784,0.15551580488681793,0.10564617067575455,0.09018497169017792,0.23272950947284698,0.18292461335659027,0.012303472496569157,0.16799809038639069,-0.10458090901374817,-0.05952034890651703,0.023186983540654182,-0.08684803545475006,-0.06260394304990768,-0.08572813868522644,0.05619066581130028,-0.2792026996612549,-0.1790897697210312,0.09208747744560242,0.3921906352043152,0.189796581864357,-0.03402511402964592,-0.3318370580673218,0.0010988221038132906,0.1458914875984192,0.07300741225481033,-0.08213081955909729,0.38841626048088074,-0.20221899449825287,0.167769655585289,-0.25368019938468933,0.12860950827598572,0.2753715217113495,0.15396066009998322,0.0649503767490387,0.1635715514421463,-0.009820385836064816,0.2041916847229004,0.00890886876732111,-0.28563058376312256,-0.15789084136486053,-0.236087828874588,0.21962980926036835,-0.5250189304351807,-0.005696669686585665,-0.03011155314743519,-0.0706060379743576,0.05971498042345047,-0.15079669654369354,0.12081274390220642,-0.036477841436862946,0.17755712568759918
1,-0.15677064657211304,0.16252511739730835,-0.08948931843042374,0.11977182328701019,-0.2846137285232544,0.16249915957450867,0.15712374448776245,-0.006131397094577551,-0.2206299751996994,0.014261062256991863,-0.0007564816623926163,0.017687592655420303,-0.031262319535017014,-0.03502463921904564,0.18619762361049652,0.10420715063810349,0.07225237786769867,0.25448259711265564,0.22360765933990479,0.0637931376695633,0.17634764313697815,-0.10042692720890045,-0.08114458620548248,0.05808423459529877,-0.06922005116939545,-0.07009699940681458,-0.08828046917915344,0.04592876881361008,-0.28610458970069885,-0.16764713823795319,0.08503516763448715,0.3848578929901123,0.20430268347263336,-0.04930562153458595,-0.3203636407852173,-0.0035001758951693773,0.15443556010723114,0.12004683166742325,-0.08162913471460342,0.40460872650146484,-0.180559441447258,0.17271265387535095,-0.23854324221611023,0.12940393388271332,0.27953121066093445,0.17484626173973083,0.054417554289102554,0.19142384827136993,-0.008711199276149273,0.21646812558174133,0.028414549306035042,-0.26981067657470703,-0.17309808731079102,-0.23888716101646423,0.22424505650997162,-0.534621000289917,-0.015010001137852669,-0.032733384519815445,-0.0774039551615715,0.08007165044546127,-0.1477866768836975,0.07688486576080322,-0.0332007110118866,0.19360633194446564
2,-0.01266622543334961,0.10398399084806442,0.18832461535930634,0.1231287494301796,-0.24221554398536682,0.09496551752090454,0.06539898365736008,-0.19324126839637756,-0.13845989108085632,-0.02599378302693367,-0.21560531854629517,0.11161705106496811,-0.05972205474972725,-0.4295192360877991,0.32286974787712097,-0.01907923072576523,-0.15438951551914215,-0.06228833645582199,0.3399287760257721,0.026469815522432327,0.11033571511507034,-0.04230065271258354,-0.26122424006462097,-0.06889514625072479,-0.023028133437037468,-0.038583140820264816,-0.024486299604177475,-0.07370427995920181,-0.300700843334198,-0.050543177872896194,-0.109188973903656,0.5274204611778259,0.12728345394134521,0.20239396393299103,-0.3709971606731415,0.05230483412742615,0.014831878244876862,0.13941654562950134,-0.02850760519504547,0.4413229525089264,0.02279009483754635,0.23415222764015198,-0.3014705181121826,-0.010895357467234135,0.45828530192375183,0.2424362301826477,0.19934168457984924,0.0806494951248169,-0.07400514930486679,-0.038746003061532974,-0.027647482231259346,-0.10490649938583374,-0.27339407801628113,-0.1944122612476349,0.1541631817817688,-0.4870069622993469,0.01131477952003479,-0.16775479912757874,0.015128212049603462,0.20855587720870972,-0.24147528409957886,0.43109726905822754,-0.274854451417923,-0.05689946189522743
3,-0.052520133554935455,0.07365771383047104,0.1962277591228485,0.12284668534994125,-0.28534165024757385,0.1192631945014,0.05055859312415123,-0.19761183857917786,-0.12337040901184082,-0.0364883691072464,-0.23305471241474152,0.08176598697900772,-0.032888852059841156,-0.46501126885414124,0.335509330034256,-0.02815898135304451,-0.18787430226802826,-0.050939951092004776,0.3358907401561737,0.06513165682554245,0.09342655539512634,-0.0244144219905138,-0.28162387013435364,-0.10082169622182846,-0.030645165592432022,-0.03000183403491974,-0.016615593805909157,-0.05145958438515663,-0.3462514877319336,-0.051285892724990845,-0.1312030851840973,0.5524486899375916,0.15394586324691772,0.21073520183563232,-0.38336944580078125,0.052120886743068695,0.01047232374548912,0.16909851133823395,-0.03971518203616142,0.5191695094108582,0.030493328347802162,0.23001886904239655,-0.30529481172561646,-0.037015870213508606,0.5264275074005127,0.2814982235431671,0.19556237757205963,0.08664628118276596,-0.057090919464826584,-0.03979521989822388,-0.038036201149225235,-0.11699873954057693,-0.29356649518013,-0.22742943465709686,0.1338377594947815,-0.5361050367355347,0.00978580117225647,-0.14707322418689728,0.02730809897184372,0.23015503585338593,-0.24359746277332306,0.48548588156700134,-0.30176594853401184,-0.0939178541302681
4,-0.024112889543175697,0.13524822890758514,0.19820530712604523,0.1324428915977478,-0.24786871671676636,0.09309029579162598,0.053670696914196014,-0.17961589992046356,-0.12334646284580231,-0.018651381134986877,-0.22130164504051208,0.0600183866918087,-0.07085950672626495,-0.4276667833328247,0.3122381269931793,-0.0027454134542495012,-0.12330937385559082,-0.05081227794289589,0.3381548821926117,0.021092716604471207,0.09668096154928207,-0.015252976678311825,-0.2370884269475937,-0.07184508442878723,-0.02073388360440731,-0.039194945245981216,-3.720924723893404e-05,-0.04098328575491905,-0.30374687910079956,-0.044286761432886124,-0.11642132699489594,0.5352706909179688,0.20127449929714203,0.1943953037261963,-0.33007416129112244,0.05615293234586716,-0.014523268677294254,0.13619472086429596,-0.02136683091521263,0.48416370153427124,0.007313326466828585,0.22192417085170746,-0.29115018248558044,-0.01747671701014042,0.48198455572128296,0.26428788900375366,0.18381847441196442,0.09559466689825058,-0.04206380993127823,-0.01152325700968504,-0.01801769621670246,-0.1345587819814682,-0.2636539041996002,-0.19612593948841095,0.1373782753944397,-0.44400086998939514,0.01048007421195507,-0.15577372908592224,0.015533572994172573,0.2561734616756439,-0.2320466935634613,0.4520871043205261,-0.2686136066913605,-0.034176457673311234
5,-0.01676817797124386,0.10262899100780487,0.16596873104572296,0.09520956873893738,-0.2533033788204193,0.08596125990152359,0.057178717106580734,-0.20918583869934082,-0.12940530478954315,-0.02846347540616989,-0.20436540246009827,0.11169826984405518,-0.07551521062850952,-0.41111457347869873,0.31841254234313965,0.004773546475917101,-0.14433155953884125,-0.06275200843811035,0.32833045721054077,0.046198770403862,0.09984070807695389,-0.02049207128584385,-0.25524088740348816,-0.08126813918352127,-0.0022188366856426,-0.06127263605594635,-0.01044989563524723,-0.07835116237401962,-0.2953275442123413,-0.03737730160355568,-0.12175223976373672,0.5243014693260193,0.1594487875699997,0.1786809265613556,-0.35231292247772217,0.05661916732788086,0.003261566860601306,0.1593284010887146,-0.025432299822568893,0.43723180890083313,0.013338577933609486,0.2416895180940628,-0.2863253355026245,-0.021736491471529007,0.46407729387283325,0.23848609626293182,0.18001806735992432,0.08076775074005127,-0.07661043852567673,-0.027398841455578804,-0.02113771066069603,-0.12743498384952545,-0.2485392540693283,-0.21286815404891968,0.1506195366382599,-0.49681568145751953,-0.0012847939506173134,-0.14713311195373535,-0.0041084918193519115,0.2215835303068161,-0.23939673602581024,0.4340662956237793,-0.28128987550735474,-0.07814095169305801
6,0.015302635729312897,0.030109776183962822,0.03590705990791321,0.01237812265753746,-0.07068605720996857,-0.5504688620567322,0.08987490087747574,0.2071826457977295,0.19959557056427002,-0.06636029481887817,-0.1906803548336029,-0.03331931307911873,0.23565463721752167,-0.47610241174697876,0.728033721446991,-0.27006712555885315,-0.07060556858778,-0.17109087109565735,-0.021848224103450775,0.17051580548286438,0.3753422200679779,-0.25270307064056396,-0.7858018279075623,-0.6715923547744751,-0.2515997588634491,-0.6847327351570129,-0.14602841436862946,-0.36699554324150085,-0.5480693578720093,-0.6344677805900574,0.041940584778785706,1.3124501705169678,-0.29133379459381104,0.5227050185203552,-0.841127872467041,0.3068331778049469,-0.4491152763366699,-0.13452164828777313,-0.17161306738853455,0.1703798919916153,-0.292714923620224,0.11226333677768707,-0.20579364895820618,0.29230791330337524,0.08057916164398193,0.03332170844078064,0.5817441344261169,0.5437475442886353,-0.18388009071350098,0.29385414719581604,-0.31893637776374817,-0.6833810210227966,-0.7641181945800781,-0.3986401855945587,0.5510051250457764,-0.31273120641708374,0.10025396198034286,-0.5222066044807434,0.10552038997411728,0.17030467092990875,0.22723224759101868,0.5575757026672363,-0.2318667471408844,0.2872236967086792
7,-0.0034338776022195816,-0.09791890531778336,0.24776890873908997,0.0593845471739769,-0.1062709391117096,-0.2775258421897888,0.020605340600013733,0.006788304541260004,0.10265892744064331,0.003921989817172289,-0.3843710720539093,0.10165852308273315,0.17765368521213531,-0.780570924282074,0.800372838973999,-0.1613985151052475,-0.2545959949493408,-0.23660853505134583,0.2634236812591553,0.14166805148124695,0.2873036563396454,-0.1669178158044815,-0.8143240809440613,-0.6317582726478577,-0.251241534948349,-0.5094047784805298,-0.09064032137393951,-0.4224036931991577,-0.5835162401199341,-0.48860451579093933,-0.1326623409986496,1.2863469123840332,-0.25778403878211975,0.5145944952964783,-0.7742854952812195,0.2843392491340637,-0.39146173000335693,-0.008846740238368511,-0.07051555067300797,0.3976449966430664,-0.16458003222942352,0.12010685354471207,-0.38665521144866943,0.24808035790920258,0.3363878130912781,0.2967464029788971,0.527923583984375,0.42016714811325073,-0.20639260113239288,0.1460704505443573,-0.3766845762729645,-0.5692461729049683,-0.8032804131507874,-0.39377298951148987,0.4466772973537445,-0.5349128842353821,0.09449191391468048,-0.7061209678649902,0.1685171127319336,0.22003769874572754,0.019504649564623833,0.7033729553222656,-0.4029858112335205,0.057724785059690475
8,0.7375049591064453,-0.3134320080280304,0.23365341126918793,-0.1053430587053299,-1.0363562107086182,0.5073915123939514,0.13298489153385162,0.004707816988229752,-0.11946578323841095,0.37289372086524963,-0.4235759377479553,-0.2778799533843994,-0.1108073741197586,-0.6869719624519348,0.6863635182380676,-1.1059420108795166,-1.2762569189071655,-0.18345023691654205,0.349869966506958,0.19138772785663605,0.037533197551965714,0.6519174575805664,0.1368352770805359,-0.8172865509986877,0.6394896507263184,-0.1902388036251068,-0.3876960873603821,-0.6562235355377197,-0.16372258961200714,-0.13520129024982452,-0.48511016368865967,1.3888565301895142,-0.6596667766571045,1.4011521339416504,-1.251190185546875,0.2136704921722412,-0.2765443027019501,-0.36711010336875916,0.46167123317718506,1.0576233863830566,0.4741034209728241,0.9258133769035339,-0.1523951292037964,0.5868960022926331,1.295621633529663,1.050827980041504,0.774081289768219,0.43941324949264526,0.05111551657319069,-0.013789763674139977,0.5466177463531494,-0.07699313759803772,-0.10250528901815414,-0.4935912489891052,0.7877011299133301,-0.7543026208877563,0.8148437142372131,0.3581729531288147,0.29452070593833923,0.7639689445495605,-0.10559584945440292,1.0526933670043945,-0.41423478722572327,-0.23843300342559814
9,0.9070340394973755,-0.17277544736862183,-0.06507089734077454,-0.06152282655239105,-1.0815660953521729,0.4809081554412842,0.29863181710243225,0.1535322070121765,-0.10476638376712799,0.42153477668762207,-0.29932665824890137,-0.45754343271255493,-0.019208557903766632,-0.3492434024810791,0.6050851345062256,-1.4931832551956177,-1.2433475255966187,-0.10018358379602432,0.22927817702293396,0.006061854772269726,0.1300857812166214,0.5839925408363342,0.16218489408493042,-0.9164888262748718,0.7675119638442993,-0.2578175365924835,-0.4650150239467621,-0.7800367474555969,-0.11467188596725464,-0.4584548771381378,-0.3574238419532776,1.4582537412643433,-0.7402431964874268,1.476818561553955,-1.474149465560913,0.3528267741203308,-0.3607584834098816,-0.5145420432090759,0.46775516867637634,1.2102930545806885,0.2326490730047226,0.9893727898597717,-0.04328301176428795,0.5357301235198975,1.2878586053848267,0.8396351933479309,0.787591278553009,0.5944601893424988,0.13604244589805603,0.17543429136276245,0.9104589819908142,-0.22112438082695007,0.08716851472854614,-0.5839786529541016,1.0767102241516113,-0.7336305975914001,1.0600190162658691,0.5857112407684326,0.34312379360198975,0.7774568796157837,-0.024824192747473717,1.0691354274749756,-0.4366920292377472,-0.12770552933216095
